Date,house_a,house_b,house_c,house_d
20160101,5.778333712,9.80291645,5.44345916,8.46050336
20160102,6.39493077,9.196835674,5.485178363,12.14031017
20160103,6.052507693,9.548896512,7.315969439,9.672441873
20160104,6.664984397,8.210177015,7.745497684,11.39361792
20160105,5.46474072,8.491850286,7.827192856,9.770639194
20160106,7.22055568,8.761112675,5.699900308,12.60752311
20160107,6.794522906,8.197647023,7.020641296,12.84936485
20160108,6.460837778,8.239434945,5.173278302,8.508154206
20160109,5.318871056,9.614684409,6.606219058,8.298861723
20160110,7.836733998,8.181719945,7.420347341,10.19769943
20160111,6.313123205,8.33979431,6.200786032,11.45247479
20160112,6.359003906,9.263351521,7.127957517,11.67491737
20160113,5.282167124,8.413204858,7.32086123,10.58931117
20160114,6.517142436,8.968724553,7.222490704,11.31369581
20160115,5.021020958,9.817344043,5.287830349,12.58127233
20160116,7.707986318,9.459362676,7.318405826,11.07193437
20160117,6.633737967,8.827428284,5.782733484,9.517695191
20160118,6.112617128,9.6136966,6.12286068,8.696493911
20160119,7.275039321,9.052718802,6.291578222,8.30260582
20160120,7.62358712,9.484633473,6.63545302,8.738677923
20160121,5.001684876,8.638121212,7.600520219,8.56916496
20160122,5.370703122,9.244563284,5.0628156,12.0753571
20160123,5.918846106,8.322397786,5.82371067,12.15498051
20160124,6.546404516,9.651954568,6.937908069,8.021145441
20160125,6.659235072,9.370625921,7.276467837,11.86233428
20160126,5.81006163,9.576848202,7.178386877,10.54050354
20160127,7.63374198,8.658804059,6.748119096,10.2268602
20160128,7.144213841,9.819246145,5.108703473,9.892352493
20160129,6.453248871,9.143989166,7.791096022,12.91577153
20160130,5.344223915,9.126565094,7.568753774,11.62129872
20160131,5.603114562,9.598677204,7.770776641,10.88721533
20160201,5.532328554,8.318171054,6.678731462,10.27132899
20160202,7.024031349,8.976993789,5.842467352,10.4829982
20160203,7.422106178,8.645776127,5.237294303,11.13848357
20160204,7.022228707,9.44876174,6.214358468,10.88133011
20160205,5.358475547,8.778706809,5.288504016,11.04078182
20160206,7.627038792,8.506647921,5.260854056,12.32171621
20160207,5.985881345,9.658071684,5.150209027,12.26812783
20160208,5.890896899,8.315863848,5.964932002,11.06159622
20160209,5.266206535,9.09729835,5.490061868,8.334173242
20160210,7.805794847,9.236737145,5.377317497,8.462787769
20160211,5.785426077,8.880485506,6.767740406,12.00010745
20160212,6.979322585,9.866020398,7.604971775,12.82787179
20160213,5.410016168,8.917382313,6.915852578,9.32142306
20160214,5.876931665,9.991702346,7.668391754,9.290247431
20160215,5.031195481,9.564273053,7.260040039,9.747766018
20160216,7.423962269,8.408310315,5.746956699,12.32962004
20160217,5.12451372,9.955640881,6.329955229,10.00070877
20160218,5.975940779,9.288979765,6.150065665,12.7954262
20160219,5.754989157,8.001122291,5.104917937,10.39631622
20160220,7.923893676,9.24827037,5.624750413,10.16796725
20160221,7.576178866,8.581854983,6.9512527,11.81299613
20160222,7.302123426,8.235878676,6.527191442,12.67575306
20160223,7.593719459,8.927396429,6.579134012,12.80310735
20160224,5.362250344,9.960783137,6.490279953,9.633721355
20160225,6.829832619,8.079848388,6.317659368,10.56080462
20160226,5.431469138,8.907389819,7.365889497,8.074887252
20160227,6.920996329,9.52214787,5.73072719,10.74624843
20160228,6.438738339,8.812591444,6.336316566,8.047782248
20160229,6.64509419,8.018665034,5.581436279,8.224586142
20160301,5.989843308,8.476358413,5.570995372,9.997112364
20160302,7.68392556,8.879868277,7.627214042,10.18924227
20160303,6.101843329,8.510870645,5.378745436,10.00693541
20160304,5.429205846,8.388887977,6.721783077,10.41850224
20160305,5.723869738,8.001902132,7.556727341,8.646960594
20160306,7.70131641,9.987388108,5.183812787,11.52035956
20160307,7.698943186,9.26959106,7.930428359,11.93504262
20160308,6.796427009,9.525695521,7.837935554,11.19757548
20160309,6.433400163,8.68874886,5.933983091,12.32080581
20160310,5.995379142,8.045674232,6.994166619,9.182242959
20160311,6.313762447,9.462282287,5.165726644,11.16600144
20160312,7.755149958,8.784737408,5.761724137,12.37747145
20160313,7.047884053,9.518035246,6.904835393,11.24875399
20160314,7.424061536,8.080747207,7.889276226,8.626918209
20160315,7.752853252,9.361883341,5.759034799,10.70218403
20160316,5.452361204,9.096420877,6.936414983,11.41267167
20160317,7.505924252,9.440274099,7.452509497,8.342875329
20160318,5.324200523,9.76430682,6.870890182,10.3021068
20160319,5.573986156,8.121089594,5.606030416,12.23479233
20160320,6.124075031,9.97107681,6.195508604,11.23286394
20160321,5.89541658,8.634741989,5.941099582,10.49974286
20160322,6.289168569,9.064193393,7.333632089,9.960018176
20160323,7.550081423,8.768341985,5.084935854,9.953163839
20160324,6.282564675,8.723099775,7.850307569,12.3159092
20160325,5.804385666,9.730061298,6.915026277,12.7625162
20160326,7.555453967,8.822895274,7.429884863,8.146144871
20160327,5.58078532,9.588462289,5.391831431,10.33735345
20160328,5.006079623,8.120178675,5.901923309,9.477154381
20160329,5.097670094,8.931657712,7.710948389,12.11788948
20160330,7.241242841,8.963189726,5.717670811,8.519312731
20160331,6.62924831,9.828876072,6.699163408,9.889102941
20160401,6.805121941,9.664821687,5.896112548,10.37312862
20160402,5.503451627,9.37263877,7.361198097,8.325960114
20160403,6.247921658,9.164632509,5.273681225,8.611670008
20160404,7.551840974,9.043431444,6.463095399,8.214800578
20160405,7.248266703,8.641236017,7.371420023,10.95005942
20160406,7.200276137,9.853086929,5.146140108,8.735190581
20160407,6.95602059,9.954566591,5.664223977,11.80364891
20160408,5.945170378,8.247099795,5.297154235,10.78490753
20160409,5.224894162,9.178931244,5.894366157,9.416346511
20160410,5.399679097,8.838070896,5.146164734,8.441218184
20160411,7.384359834,8.137532819,7.159911916,10.77215513
20160412,7.216890915,8.826256013,7.491764962,9.951347316
20160413,6.547902007,8.167975678,6.00203736,11.1605073
20160414,5.52951064,9.551482931,5.979814945,9.260498198
20160415,6.032320638,9.654944932,7.575769815,12.80947031
20160416,5.297757178,8.814702754,6.366136817,12.1863771
20160417,6.125294553,8.564412264,7.2501259,9.824788167
20160418,7.80700456,9.246534537,5.832238772,12.72625404
20160419,6.771573587,8.324026919,6.82489349,12.27521341
20160420,5.600136448,9.192255637,6.240657835,12.36219993
20160421,7.197862396,9.328815913,5.055906383,9.767453103
20160422,6.581717498,9.207758642,6.853545572,12.07915085
20160423,6.402747816,8.681290866,5.139801272,11.12735358
20160424,5.336032194,8.581168353,5.474696,9.519632023
20160425,5.487814915,9.069667003,5.861370239,9.232411322
20160426,7.466294465,9.250201358,6.572759432,12.73245369
20160427,6.848062181,8.005838372,5.307805032,8.26513825
20160428,6.815160094,8.352676922,5.968727547,9.394110073
20160429,6.785549065,8.862313691,6.58808878,12.05198478
20160430,5.34731353,8.584926982,6.372958684,9.84175252
20160501,7.659002819,8.134934855,6.070829934,9.231438148
20160502,5.285725711,9.930499416,6.918881408,12.90133711
20160503,5.626391967,9.968986932,7.850405669,11.77205977
20160504,6.162162828,9.795175852,7.641190757,8.917953571
20160505,5.351409367,8.631134215,6.54333688,12.52458256
20160506,7.075112156,8.889913667,7.337374439,10.18433869
20160507,6.059170029,9.291987428,7.585242719,11.4667902
20160508,7.905930738,8.592250378,5.550548214,9.622551107
20160509,6.362040558,8.578592211,7.910810055,11.11112478
20160510,6.098542142,9.419945533,6.951030579,12.34431172
20160511,7.95611914,9.846822249,5.283541629,10.74226011
20160512,7.345123564,8.312548293,7.024680819,10.13795712
20160513,6.281011461,9.966991266,7.983940763,12.07736899
20160514,7.31692744,8.933262276,6.580361298,11.47008033
20160515,7.786786459,8.157031775,6.94384414,10.21837269
20160516,7.552640167,9.74563555,7.319485142,11.60010598
20160517,7.343922468,8.254476317,5.421906099,10.2529342
20160518,7.426458806,9.129645211,6.680959264,8.08856001
20160519,7.031882778,9.919702976,6.092471596,8.425219602
20160520,5.847896703,9.885973036,5.160843781,8.468295772
20160521,6.342260652,8.651217438,5.159566625,8.191238397
20160522,7.116724501,9.987654716,7.370301636,8.360236955
20160523,7.869430981,8.623624677,7.485263437,9.959286679
20160524,7.06139201,8.171614106,6.649967432,10.24250277
20160525,6.287099933,9.670851518,7.033822444,10.02456651
20160526,7.449886161,9.475563285,7.244401986,8.111778546
20160527,6.243700204,9.504846131,7.62500245,12.46753646
20160528,6.796648422,9.570595607,6.990012046,12.81057292
20160529,7.599732346,8.385029656,6.866587334,10.02804208
20160530,6.809607332,8.735729162,6.435754812,11.43512749
20160531,6.186686729,8.604711581,5.818719266,11.43048366
20160601,6.916346976,8.520065073,6.472799883,9.205224644
20160602,7.500293876,9.972056618,6.986784528,12.9447237
20160603,6.268526372,9.013504013,7.292941674,12.16018941
20160604,6.01120178,9.99271871,7.098083029,11.84066694
20160605,6.305086186,9.763652502,7.415760122,10.25996331
20160606,7.227121787,9.302159836,7.38112382,8.26619384
20160607,7.913455822,9.464453453,5.4927091,9.347948909
20160608,6.390896173,8.453667762,6.450457422,12.79438253
20160609,5.924907913,8.997452032,6.457086158,10.73802275
20160610,7.407745558,9.767821613,5.57971745,12.43528989
20160611,7.307837683,8.972825782,7.728397152,8.02861389
20160612,6.300214282,9.437348619,5.679281593,12.48055552
20160613,6.80437138,8.467230091,5.705819758,8.648772512
20160614,6.202815976,9.41025558,6.18050805,12.72197335
20160615,7.811078829,8.831219328,5.032891735,9.325210219
20160616,7.053354489,8.844071308,5.47409279,9.701730761
20160617,5.675644449,9.368770534,7.003433373,11.05642375
20160618,6.604386242,8.743695282,5.25831705,11.85089259
20160619,6.760503776,9.066434166,7.855179216,10.8213495
20160620,7.697737617,9.933464874,7.732376171,11.3852981
20160621,6.467258082,8.306782745,7.172286573,8.342514773
20160622,7.242268638,8.684452258,7.310170391,12.64472456
20160623,7.122824326,9.44457547,5.049830844,10.43328386
20160624,5.144341813,9.02321698,6.1048561,8.02545088
20160625,5.836085234,9.490699337,5.559623345,9.031923765
20160626,5.781749789,9.152107785,5.87975211,8.382039484
20160627,5.951676896,8.886844833,5.560097311,10.20304187
20160628,5.441707286,8.866418151,5.120360019,10.55103049
20160629,7.577437807,9.051058933,6.264852333,11.78337727
20160630,6.322697093,9.055506705,6.411896647,11.20042264
20160701,7.869236021,8.351053645,7.630158179,12.8076087
20160702,5.948828223,9.890934899,5.254129098,9.095985861
20160703,5.088344714,8.99135922,5.403546847,12.70065677
20160704,7.172133216,9.573307719,7.722590194,12.92070552
20160705,6.714169566,9.705380453,7.05459778,12.7102993
20160706,6.871316271,8.429671188,6.033317226,10.92440193
20160707,6.995424582,8.667844769,6.537230523,11.34201716
20160708,7.274771274,8.543896845,5.943896679,9.982047707
20160709,5.636026068,9.642391995,7.645025884,10.96264166
20160710,7.546719072,8.791582138,7.527277084,10.79606877
20160711,7.072197274,8.425530495,5.068109451,8.156248181
20160712,7.530864782,9.407669203,6.224589632,12.78664665
20160713,7.155318751,9.574964251,6.504021783,9.709256308
