Date,Gas
20160101,13.88815585
20160102,10.28424271
20160103,13.18024495
20160104,14.74122837
20160105,13.8877366
20160106,17.9103967
20160107,13.37719798
20160108,13.23664917
20160109,13.7084568
20160110,15.42807526
20160111,12.18707756
20160112,11.24608126
20160113,16.88478701
20160114,14.87869711
20160115,14.09897954
20160116,11.05089104
20160117,15.24971009
20160118,14.05681477
20160119,17.18947313
20160120,14.64200484
20160121,13.5002042
20160122,163.4504098
20160123,14.55758139
20160124,16.47504067
20160125,15.68853012
20160126,12.57227308
20160127,12.91189544
20160128,11.44906139
20160129,13.95409485
20160130,11.71730996
20160131,17.63066827
20160201,12.32564125
20160202,14.03091215
20160203,11.42362791
20160204,11.55496418
20160205,12.3843018
20160206,12.06678155
20160207,12.48225999
20160208,12.40196775
20160209,12.44232981
20160210,10.78739424
20160211,12.94291384
20160212,11.91920316
20160213,16.18382099
20160214,12.13973936
20160215,152.6055622
20160216,11.50532699
20160217,10.63053686
20160218,13.14596371
20160219,9.529490006
20160220,13.5570431
20160221,9.693444616
20160222,136.4097769
20160223,12.60755574
20160224,11.06375215
20160225,11.02528113
20160226,11.68635684
20160227,15.10891066
20160228,14.06441741
20160229,12.91990499
20160301,10.30046758
20160302,10.86356003
20160303,75.65809899
20160304,10.71752613
20160305,11.53568234
20160306,93.44105134
20160307,10.44582318
20160308,121.2537326
20160309,96.90306337
20160310,10.45830246
20160311,10.38222078
20160312,10.18880464
20160313,110.7495824
20160314,10.92055182
20160315,9.546095802
20160316,10.05429266
20160317,10.98528518
20160318,9.215494597
20160319,9.871290044
20160320,10.36307086
20160321,9.532618427
20160322,10.03240407
20160323,9.728934125
20160324,9.908814955
20160325,10.18339813
20160326,9.061271584
20160327,10.56342501
20160328,9.610587729
20160329,9.745350543
20160330,10.04822542
20160331,9.559063716
20160401,9.348397592
20160402,108.8059765
20160403,9.561351091
20160404,8.789817747
20160405,52.25216133
20160406,8.719025844
20160407,8.879462508
20160408,8.692501732
20160409,7.397619333
20160410,9.035627471
20160411,10.35550427
20160412,9.833348867
20160413,8.59791269
20160414,105.2748123
20160415,6.959161167
20160416,8.612344675
20160417,9.827831641
20160418,7.575731996
20160419,7.27718833
20160420,8.712544476
20160421,10.43468453
20160422,9.37972036
20160423,9.308369125
20160424,8.351825106
20160425,7.439492707
20160426,7.960159764
20160427,8.643196381
20160428,7.106022578
20160429,9.862835093
20160430,8.985553671
20160501,6.549730548
20160502,6.089180263
20160503,5.846805314
20160504,6.967791217
20160505,4.963817485
20160506,5.937376752
20160507,5.352541685
20160508,8.02168655
20160509,5.228422989
20160510,7.074084257
20160511,5.614779669
