Date,Electricity,Gas
20160101,16.67999647,11.44134835
20160102,11.58896008,16.06525553
20160103,13.24777519,15.79169706
20160104,12.4173171,12.99695592
20160105,13.97414883,13.03705822
20160106,14.0694347,13.31759811
20160107,11.06697994,14.36096787
20160108,10.74346523,14.85491992
20160109,11.22649287,13.92145422
20160110,19.00055753,15.39198627
20160111,11.03659351,13.92463601
20160112,8.956328671,14.10946916
20160113,14.38527342,15.77285835
20160114,15.05574355,13.74108526
20160115,18.90388624,10.08604353
20160116,12.75288884,12.29094124
20160117,13.14087745,9.653979114
20160118,14.84809803,14.81710861
20160119,13.75117188,15.08062808
20160120,15.11192207,11.85458491
20160121,10.12505717,13.19339422
20160122,12.53075319,12.89824051
20160123,11.23390183,16.04912219
20160124,17.71648665,10.9293426
20160125,16.50843374,15.57154298
20160126,16.7766369,14.797644
20160127,14.43603523,14.1733277
20160128,14.27524976,14.15344387
20160129,17.56799573,13.42188974
20160130,14.36543691,15.83938304
20160131,12.90502107,11.58086088
20160201,12.59930917,11.91841293
20160202,14.30939686,13.99091256
20160203,10.39252013,10.71781371
20160204,12.04932019,11.70840517
20160205,11.2782251,10.69198049
20160206,11.9261932,12.48466881
20160207,9.47135379,9.704778772
20160208,10.61787607,10.54522274
20160209,10.09129701,12.02289202
20160210,15.16705077,12.87160287
20160211,11.96768675,10.92993414
20160212,12.29410244,11.62309905
20160213,10.90679828,10.1926317
20160214,12.67017496,13.49442318
20160215,11.39587886,13.29775639
20160216,11.65439984,11.36223772
20160217,12.13500585,11.03181769
20160218,10.68481857,11.92855779
20160219,13.15424907,196.0865851
20160220,12.80338201,12.60724787
20160221,10.63567125,10.85277883
20160222,12.90884616,14.17118295
20160223,13.40420281,13.92938767
20160224,14.2997795,11.56027211
20160225,12.14685552,10.88660145
20160226,10.69469093,13.01214958
20160227,12.39525395,13.20883761
20160228,13.61498333,11.68529634
20160229,11.59646022,11.14125401
20160301,10.9012722,9.17897507
20160302,77.71315166,10.28543691
