Date,Gas
20160101,19.23278114
20160102,13.59000739
20160103,16.05067272
20160104,14.34922966
20160105,14.082353
20160106,15.32357857
20160107,13.76473234
20160108,10.29389559
20160109,11.4151125
20160110,178.802775
20160111,12.63157546
20160112,11.71154958
20160113,11.57137343
20160114,15.41367358
20160115,13.94576203
20160116,14.05821492
20160117,11.88976957
20160118,11.98731556
20160119,14.32996563
20160120,15.01705534
20160121,12.39224012
20160122,13.24303373
20160123,14.19221133
20160124,16.71429909
20160125,13.33443658
20160126,13.3411141
20160127,This isnt a float
20160128,11.00278299
20160129,10.96967826
20160130,14.81192042
20160131,13.0720058
20160201,10.73010921
20160202,12.55109435
20160203,142.533137
20160204,11.20599297
20160205,11.14159157
20160206,11.87199498
20160207,10.93229917
20160208,12.52408756
20160209,11.10821644
20160210,12.18750573
20160211,15.73232734
20160212,10.24480725
20160213,14.17064875
20160214,9.703599681
20160215,14.1886482
20160216,14.23878771
20160217,11.0337957
20160218,117.8776652
20160219,8.654050261
20160220,11.41957317
20160221,13.33807681
20160222,11.68633174
20160223,13.53683962
20160224,173.7844291
20160225,11.62793421
20160226,12.50213507
20160227,9.693780369
20160228,10.96919976
20160229,8.994659413
20160301,11.30991405
20160302,10.88541254
20160303,7.22452155
20160304,10.77362866
20160305,8.915009126
20160306,9.776162066
20160307,103.8059115
20160308,9.250338448
20160309,10.46283559
20160310,10.47900601
20160311,10.33314131
20160312,11.41588594
20160313,10.06694216
20160314,10.36194976
20160315,9.950327868
20160316,10.04696836
20160317,10.58715102
20160318,10.64735942
20160319,9.386886698
20160320,10.41491583
20160321,8.252050751
20160322,11.29816899
20160323,9.996312765
20160324,10.47747265
20160325,10.90699218
20160326,10.39727696
20160327,9.439488477
20160328,8.854068701
20160329,9.652578343
20160330,9.687860336
20160331,11.10748308
20160401,9.248918764
20160402,9.104546323
20160403,9.403419514
20160404,8.854145572
20160405,11.46565947
20160406,9.316006264
20160407,9.856129199
20160408,7.754651721
20160409,9.897904615
20160410,7.859051656
20160411,10.03094845
20160412,7.665688805
20160413,9.668881275
20160414,9.826626186
20160415,9.18272228
20160416,8.251955317
20160417,8.938788415
20160418,9.050035875
20160419,9.221470873
20160420,8.244946745
20160421,7.531678062
20160422,10.21376629
20160423,8.213870932
20160424,9.740928748
20160425,9.444897958
20160426,9.630310872
20160427,10.07990235
20160428,8.712073321
20160429,7.880169433
20160430,8.992612921
20160501,9.601511117
20160502,7.502265404
20160503,4.406455337
20160504,5.02208935
20160505,6.570402735
20160506,3.829580069
20160507,4.28445223
20160508,6.08591006
20160509,5.827069633
20160510,6.849671113
20160511,5.898555502
20160512,5.609873276
20160513,6.427490861
20160514,6.007357484
20160515,5.72523051
20160516,6.522611335
20160517,4.820700085
20160518,7.89878287
20160519,6.402751916
20160520,5.936322059
20160521,8.433372719
20160522,5.131546296
20160523,6.76893131
20160524,6.241598057
20160525,7.348246066
20160526,7.577042954
20160527,4.107952383
20160528,5.462990778
20160529,8.675394894
20160530,5.174601736
20160531,5.881381786
20160601,4.354268947
20160602,8.969523533
20160603,6.304218535
20160604,7.49747805
20160605,8.461284673
20160606,10.86044901
20160607,10.10095664
20160608,9.60750539
20160609,8.890551133
20160610,11.95510284
20160611,10.45789783
20160612,8.849600717
20160613,10.06585698
20160614,8.45691741
20160615,6.652687954
20160616,10.88762068
20160617,13.02893677
20160618,10.21322254
20160619,10.82800332
20160620,8.177752564
20160621,9.768076134
20160622,10.58140005
20160623,9.939748961
20160624,11.14425955
20160625,131.6399367
20160626,12.02035584
20160627,13.12230881
20160628,11.16187595
20160629,12.86932741
20160630,8.340364015
20160701,4.072663394
20160702,3.747232804
20160703,4.981082001
20160704,2.099411681
20160705,25.03171617
20160706,5.2472761
20160707,2.682574571
20160708,3.190021619
20160709,4.492946772
20160710,5.084052308
20160711,5.811802916
20160712,3.201530268
20160713,4.204128362
20160714,4.803618998
20160715,4.027971044
20160716,3.692865681
20160717,5.556267787
20160718,3.755348776
20160719,3.368858886
20160720,4.486602146
20160721,5.824731978
20160722,5.693950412
20160723,3.336258611
20160724,4.660709935
20160725,4.925412567
20160726,2.943326586
20160727,4.879000567
20160728,3.862159097
20160729,3.294831983
20160730,5.123948369
20160731,5.485416146
20160801,4.986446011
20160802,5.275757849
20160803,3.666736863
20160804,4.412143775
20160805,4.488390685
20160806,3.853366669
20160807,2.976371673
20160808,5.140645957
20160809,5.207696352
20160810,5.339127365
20160811,4.366373509
20160812,4.745648855
20160813,5.130251788
20160814,3.364916509
20160815,4.510001817
20160816,4.985911236
20160817,6.635701271
20160818,3.305303661
20160819,13.33164383
20160820,46.07874647
20160821,7.645425686
20160822,6.098324856
20160823,5.63846395
20160824,2.780355807
